name,PH,SS,T-N,T-P,CHL-A,date,COD,TOC,DO,EC (MS/CM),NH3-N (MG/L),수온
만석거저수지,7.65,7.6,5.424,0.059,31.7,2015-01-01,6.8,,,,,
서호저수지,8.66,22.0,10.434,0.149,89.3,2015-01-01,10.8,,,,,
일월저수지,9.66,14.4,5.48,0.23,118.1,2015-01-01,12.0,,,,,
신대저수지,7.66,5.6,2.182,0.066,31.5,2015-01-01,9.6,,,,,
원천저수지,8.04,3.6,1.001,0.012,8.5,2015-01-01,4.7,,,,,
만석거저수지,8.22,6.4,4.17,0.038,23.6,2015-02-01,5.8,,,,,
서호저수지,7.62,18.4,11.442,0.116,46.7,2015-02-01,8.9,,,,,
일월저수지,9.19,17.2,8.492,0.367,121.7,2015-02-01,12.7,,,,,
신대저수지,7.85,0.8,2.212,0.012,8.1,2015-02-01,4.6,,,,,
원천저수지,7.02,0.8,2.042,,3.0,2015-02-01,3.4,,,,,
만석거저수지,7.8,10.7,2.235,0.032,15.6,2015-03-01,7.1,,,,,
서호저수지,8.1,21.0,5.696,0.102,52.4,2015-03-01,11.2,,,,,
일월저수지,8.7,17.0,5.486,0.282,85.7,2015-03-01,13.1,,,,,
신대저수지,7.8,6.3,1.287,0.012,13.4,2015-03-01,5.9,,,,,
원천저수지,8.0,5.0,0.896,0.016,6.9,2015-03-01,5.0,,,,,
만석거저수지,8.3,8.7,1.536,0.057,26.7,2015-04-01,7.3,,,,,
서호저수지,8.3,22.5,4.691,0.107,83.2,2015-04-01,11.1,,,,,
일월저수지,9.5,16.0,1.659,0.228,72.4,2015-04-01,15.1,,,,,
신대저수지,8.0,4.3,1.007,0.024,8.6,2015-04-01,6.1,,,,,
원천저수지,8.1,6.0,0.746,0.037,15.3,2015-04-01,6.1,,,,,
만석거저수지,8.5,11.0,0.787,0.057,40.5,2015-05-01,7.7,,,,,
서호저수지,8.3,22.5,4.691,0.107,83.2,2015-05-01,11.1,,,,,
일월저수지,9.5,16.0,1.659,0.228,72.4,2015-05-01,15.1,,,,,
신대저수지,8.6,13.0,0.402,0.025,28.0,2015-05-01,8.8,,,,,
원천저수지,7.8,6.3,0.462,0.024,8.9,2015-05-01,5.8,,,,,
만석거저수지,8.3,31.0,0.792,0.099,143.4,2015-06-01,17.5,,,,,
서호저수지,8.7,24.0,3.77,0.092,67.6,2015-06-01,12.8,,,,,
일월저수지,7.9,32.0,5.057,0.209,126.6,2015-06-01,16.3,,,,,
신대저수지,8.7,11.3,0.373,0.009,10.8,2015-06-01,8.0,,,,,
원천저수지,8.3,31.0,0.437,0.018,29.6,2015-06-01,15.8,,,,,
만석거저수지,7.8,8.7,0.477,0.052,28.8,2015-07-01,7.7,,,,,
서호저수지,9.8,47.0,3.459,0.154,218.1,2015-07-01,28.5,,,,,
일월저수지,9.1,51.0,3.537,0.255,198.8,2015-07-01,24.7,,,,,
신대저수지,7.7,14.4,0.38,0.027,17.4,2015-07-01,8.1,,,,,
원천저수지,8.3,31.0,0.437,0.018,29.6,2015-07-01,15.8,,,,,
만석거저수지,7.8,15.0,0.824,0.084,155.5,2015-08-01,11.4,,,,,
서호저수지,8.3,32.5,3.611,0.0198,122.4,2015-08-01,17.7,,,,,
일월저수지,7.8,19.7,1.925,0.137,143.1,2015-08-01,14.2,,,,,
신대저수지,8.5,8.6,0.497,0.038,21.3,2015-08-01,8.2,,,,,
원천저수지,8.2,5.0,0.328,0.033,8.9,2015-08-01,6.5,,,,,
만석거저수지,8.1,10.0,0.43,0.046,57.5,2015-09-01,7.7,,,,,
서호저수지,8.2,44.0,4.74,0.152,165.5,2015-09-01,20.4,,,,,
일월저수지,8.8,51.0,1.831,0.135,212.5,2015-09-01,28.7,,,,,
신대저수지,8.4,6.2,0.39,0.028,15.9,2015-09-01,7.0,,,,,
원천저수지,8.1,6.4,0.322,0.024,10.9,2015-09-01,6.4,,,,,
만석거저수지,8.1,13.3,0.351,0.024,57.7,2015-10-01,8.9,,,,,
서호저수지,9.1,30.5,5.014,0.345,181.4,2015-10-01,18.1,,,,,
일월저수지,9.3,24.0,2.457,0.108,102.6,2015-10-01,18.5,,,,,
신대저수지,8.9,3.6,0.346,0.013,9.3,2015-10-01,5.8,,,,,
원천저수지,8.4,7.0,0.175,0.003,8.8,2015-10-01,5.6,,,,,
만석거저수지,7.5,12.3,0.35,0.026,40.6,2015-11-01,7.3,,,,,
서호저수지,8.4,17.3,4.561,0.078,60.3,2015-11-01,8.6,,,,,
일월저수지,8.6,33.2,2.248,0.207,164.3,2015-11-01,22.4,,,,,
신대저수지,7.3,7.3,0.788,0.008,16.4,2015-11-01,6.5,,,,,
원천저수지,7.7,8.5,0.27,0.007,16.3,2015-11-01,5.3,,,,,
만석거저수지,8.02,11.87,1.53,0.05,53.49,2015-12-01,8.49,,,,,
서호저수지,8.4,25.79,5.71,0.13,99.84,2015-12-01,13.98,,,,,
일월저수지,8.99,26.27,3.87,0.23,137.43,2015-12-01,18.15,,,,,
신대저수지,8.08,7.27,0.89,0.02,16.08,2015-12-01,7.06,,,,,
원천저수지,7.99,9.58,0.58,0.02,14.28,2015-12-01,7.47,,,,,
만석거저수지,8.0,4.0,1.217,0.029,15.0,2016-01-01,5.0,6.6,,,,
서호저수지,8.0,6.6,9.668,0.064,24.1,2016-01-01,6.6,8.0,,,,
일월저수지,8.1,12.2,4.1,0.204,80.7,2016-01-01,12.4,12.4,,,,
신대저수지,7.5,6.2,1.152,0.047,18.3,2016-01-01,5.7,6.6,,,,
원천저수지,7.4,4.0,1.098,0.027,12.2,2016-01-01,5.8,8.6,,,,
만석거저수지,7.9,0.4,2.524,0.018,4.7,2016-02-01,3.9,3.7,,,,
서호저수지,7.9,8.4,5.71,0.049,30.7,2016-02-01,7.0,5.9,,,,
