한글과명,한글보통명,조사연도,개체수
잉어과,큰납지리,2016,1
가물치과,가물치,2020,1
망둑어과,밀어,2015,3
망둑어과,문절망둑,2009,1
잉어과,큰납지리,2020,1
잉어과,큰납지리,2020,1
잉어과,큰납지리,2020,1
잉어과,붕어,2014,7
잉어과,붕어,2015,1
잉어과,붕어,2017,1
잉어과,붕어,2019,1
잉어과,붕어,2007,1
잉어과,붕어,2014,5
잉어과,붕어,2014,1
잉어과,붕어,2010,15
잉어과,붕어,2020,5
잉어과,붕어,2015,1
잉어과,붕어,2019,1
잉어과,붕어,2020,3
잉어과,붕어,2009,3
잉어과,붕어,2015,1
잉어과,붕어,2014,3
잉어과,붕어,2014,4
잉어과,붕어,2017,1
잉어과,붕어,2019,4
잉어과,붕어,2016,1
잉어과,붕어,2016,1
잉어과,붕어,2014,1
잉어과,붕어,2015,1
잉어과,붕어,2016,6
잉어과,붕어,2014,2
잉어과,붕어,2012,2
잉어과,붕어,2017,1
잉어과,붕어,2017,1
잉어과,붕어,2017,1
잉어과,붕어,2018,60
잉어과,붕어,2018,20
잉어과,붕어,2019,1
잉어과,붕어,2005,2
잉어과,붕어,2018,1
잉어과,붕어,2019,5
잉어과,붕어,2008,1
잉어과,붕어,2017,1
잉어과,붕어,2016,1
잉어과,붕어,2016,4
잉어과,붕어,2017,2
잉어과,붕어,2018,1
잉어과,붕어,2017,1
잉어과,붕어,2014,5
잉어과,붕어,2014,12
잉어과,붕어,2018,10
잉어과,붕어,2017,1
잉어과,붕어,2015,3
잉어과,붕어,2016,5
잉어과,붕어,2018,1
잉어과,붕어,2016,1
잉어과,붕어,2007,1
잉어과,붕어,2017,1
잉어과,붕어,2014,1
잉어과,붕어,2016,30
잉어과,붕어,2019,60
잉어과,붕어,2019,1
잉어과,붕어,2010,1
잉어과,붕어,2015,11
잉어과,붕어,2017,1
잉어과,붕어,2016,2
잉어과,붕어,2020,1
잉어과,붕어,2010,108
잉어과,붕어,2017,1
잉어과,붕어,2015,1
잉어과,붕어,2016,10
잉어과,붕어,2015,13
잉어과,붕어,2016,4
잉어과,붕어,2015,1
잉어과,붕어,2018,1
잉어과,붕어,2018,1
잉어과,붕어,2015,3
잉어과,붕어,2014,4
잉어과,붕어,2018,1
잉어과,붕어,2014,1
잉어과,붕어,2018,1
잉어과,붕어,2016,9
잉어과,붕어,2017,1
잉어과,붕어,2007,1
잉어과,붕어,2020,30
잉어과,붕어,2015,5
잉어과,붕어,2007,1
잉어과,붕어,2019,2
잉어과,붕어,2015,1
잉어과,붕어,2017,1
잉어과,붕어,2017,1
