,분류명,조사연도,CO2,개체수,pH,BOD,SS,T-N,T-P,TOC
0,각다귀과,2015,407.0,36,7.8,2.3,3.6,9.906,0.099,4.74
1,각다귀과,2016,409.9,20,7.7,2.1,7.5,7.8,0.097,4.6
2,각다귀과,2017,412.2,24,7.8,3.7,7.4,5.0,0.072,3.3
3,각다귀과,2018,415.2,20,7.9,4.4,11.2,4.5,0.092,3.6
4,각다귀과,2019,417.9,14,8.4,4.1,15.2,5.8,0.155,4.8
5,각다귀과,2020,420.4,24,8.2,5.1,18.8,5.5,0.104,7.4
6,거머리과,2015,407.0,41,7.8,2.3,3.6,9.906,0.099,4.74
7,거머리과,2016,409.9,17,7.7,2.1,7.5,7.8,0.097,4.6
8,거머리과,2017,412.2,10,7.8,3.7,7.4,5.0,0.072,3.3
9,거머리과,2018,415.2,10,7.9,4.4,11.2,4.5,0.092,3.6
10,거머리과,2019,417.9,3,8.4,4.1,15.2,5.8,0.155,4.8
11,거머리과,2020,420.4,14,8.2,5.1,18.8,5.5,0.104,7.4
12,깔따구과,2015,407.0,59,7.8,2.3,3.6,9.906,0.099,4.74
13,깔따구과,2016,409.9,49,7.7,2.1,7.5,7.8,0.097,4.6
14,깔따구과,2017,412.2,65,7.8,3.7,7.4,5.0,0.072,3.3
15,깔따구과,2018,415.2,60,7.9,4.4,11.2,4.5,0.092,3.6
16,깔따구과,2019,417.9,576,8.4,4.1,15.2,5.8,0.155,4.8
17,깔따구과,2020,420.4,405,8.2,5.1,18.8,5.5,0.104,7.4
18,꼬마하루살이과,2015,407.0,172,7.8,2.3,3.6,9.906,0.099,4.74
19,꼬마하루살이과,2016,409.9,247,7.7,2.1,7.5,7.8,0.097,4.6
20,꼬마하루살이과,2017,412.2,104,7.8,3.7,7.4,5.0,0.072,3.3
21,꼬마하루살이과,2018,415.2,123,7.9,4.4,11.2,4.5,0.092,3.6
22,꼬마하루살이과,2019,417.9,321,8.4,4.1,15.2,5.8,0.155,4.8
