name,PH,BOD,SS,T-N,T-P,date,TOC,DO,EC (MS/CM),수온
수원천,7.696666666666666,1.933333333333333,11.633333333333333,8.805333333333335,0.0783333333333333,2015-01-01,,,,
원천리천,7.653333333333333,2.333333333333333,2.466666666666667,6.658,0.1633333333333333,2015-01-01,,,,
서호천,7.786666666666666,2.333333333333333,3.5666666666666664,9.906,0.0986666666666666,2015-01-01,,,,
황구지천,7.693333333333332,2.3666666666666667,3.866666666666666,7.422666666666667,0.1636666666666666,2015-01-01,,,,
수원천,7.766666666666667,1.0333333333333332,0.9333333333333332,7.231999999999999,0.077,2015-02-01,,,,
원천리천,7.57,1.6333333333333335,4.266666666666667,8.459999999999999,0.1643333333333333,2015-02-01,,,,
서호천,7.960000000000001,2.1333333333333333,4.6000000000000005,8.528,0.1213333333333333,2015-02-01,,,,
황구지천,7.580000000000001,2.2666666666666666,4.966666666666667,7.654000000000001,0.2299999999999999,2015-02-01,,,,
수원천,8.0,2.2,4.7,4.849,0.012,2015-03-01,,,,
원천리천,7.8,3.0,6.1,7.169,0.159,2015-03-01,,,,
서호천,7.9,2.7,11.1,6.052,0.065,2015-03-01,,,,
황구지천,7.6,2.8,15.9,16.223,0.129,2015-03-01,,,,
수원천,8.2,0.9,2.767,3.424,0.061,2015-04-01,,,,
원천리천,7.57,1.633,4.2,4.048,0.116,2015-04-01,,,,
서호천,7.9,1.867,32.7,5.56,0.098,2015-04-01,,,,
황구지천,7.83,3.9,20.9,3.772,0.122,2015-04-01,,,,
수원천,7.87,1.167,2.933,2.517,0.023,2015-05-01,,,,
원천리천,7.47,1.833,5.133,2.999,0.121,2015-05-01,,,,
서호천,7.5,3.567,8.633,5.543,0.058,2015-05-01,,,,
황구지천,7.57,5.767,26.267,3.848,0.136,2015-05-01,,,,
수원천,7.93,1.167,2.667,2.28,0.015,2015-06-01,,,,
원천리천,7.87,2.0,6.2,4.144,0.137,2015-06-01,,,,
서호천,7.97,2.167,8.033,5.442,0.039,2015-06-01,,,,
황구지천,7.7,6.667,22.333,2.299,0.105,2015-06-01,,,,
수원천,7.97,1.6,8.1,1.691,0.017,2015-07-01,,,,
원천리천,7.57,1.8,5.2,4.534,0.239,2015-07-01,,,,
서호천,7.8,2.6,5.8,5.388,0.053,2015-07-01,,,,
황구지천,8.4,11.8,33.8,1.769,0.157,2015-07-01,,,,
수원천,8.03,4.0,7.9,3.018,0.045,2015-08-01,,,,
원천리천,7.73,2.2,3.9,3.221,0.287,2015-08-01,,,,
서호천,8.0,3.8,11.0,6.146,0.134,2015-08-01,,,,
황구지천,8.03,5.9,32.7,1.598,0.135,2015-08-01,,,,
수원천,8.23,1.1,8.7,2.378,0.033,2015-09-01,,,,
원천리천,7.83,1.1,4.9,3.502,0.174,2015-09-01,,,,
서호천,8.07,3.7,11.4,5.852,0.124,2015-09-01,,,,
황구지천,7.97,14.0,62.7,2.437,0.134,2015-09-01,,,,
수원천,8.3,1.2,1.9,2.171,0.034,2015-10-01,,,,
원천리천,8.3,1.3,2.6,3.823,0.274,2015-10-01,,,,
서호천,8.2,2.3,5.7,6.451,0.252,2015-10-01,,,,
황구지천,8.3,3.2,12.4,5.267,0.134,2015-10-01,,,,
수원천,7.7,0.5,1.5,3.334,0.027,2015-11-01,,,,
원천리천,7.2,1.6,4.5,4.069,0.406,2015-11-01,,,,
서호천,7.7,2.0,6.2,6.898,0.075,2015-11-01,,,,
황구지천,8.0,2.8,26.3,3.644,0.086,2015-11-01,,,,
수원천,7.8,0.7,0.8,4.911,0.008,2015-12-01,,,,
원천리천,7.6,1.5,3.3,3.845,0.047,2015-12-01,,,,
서호천,7.7,2.4,5.6,8.217,0.107,2015-12-01,,,,
황구지천,7.6,3.6,26.8,4.362,0.099,2015-12-01,,,,
수원천,7.8,0.4,1.2,7.341,0.012,2016-01-01,3.0,,,
원천리천,7.63,2.6,3.5,6.216,0.142,2016-01-01,8.47,,,
서호천,7.63,2.1,7.0,9.22,0.123,2016-01-01,7.67,,,
황구지천,7.73,2.5,8.8,8.105,0.11,2016-01-01,5.53,,,
수원천,7.3,1.7,0.5,6.666,0.02,2016-02-01,2.67,,,
원천리천,7.17,4.3,3.1,11.537,0.143,2016-02-01,7.9,,,
서호천,7.63,1.9,33.5,8.648,0.074,2016-02-01,6.63,,,
황구지천,7.77,2.8,13.7,7.667,0.154,2016-02-01,4.87,,,
수원천,7.0,0.5,1.5,3.41,0.022,2016-03-01,1.53,,,
원천리천,7.5,4.5,5.1,4.212,0.136,2016-03-01,6.37,,,
서호천,7.5,1.8,3.7,4.829,0.085,2016-03-01,4.57,,,
황구지천,7.73,5.5,26.3,1.844,0.177,2016-03-01,4.93,,,
수원천,7.97,0.7,3.1,4.948,0.031,2016-04-01,2.0,,,
원천리천,7.43,6.7,5.2,10.407,0.126,2016-04-01,6.93,,,
서호천,7.8,2.0,4.4,9.784,0.094,2016-04-01,4.53,,,
황구지천,7.43,4.2,25.6,6.72,0.226,2016-04-01,5.33,,,
수원천,7.97,1.2,7.2,3.933,0.045,2016-05-01,2.43,,,
원천리천,7.8,3.2,6.0,3.267,0.221,2016-05-01,3.07,,,
서호천,8.0,2.0,5.3,7.6,0.086,2016-05-01,3.3,,,
황구지천,7.83,4.6,27.9,4.933,0.2,2016-05-01,5.2,,,
수원천,7.73,0.9,1.7,3.033,0.024,2016-06-01,3.1,,,
원천리천,7.17,1.4,5.5,4.367,0.156,2016-06-01,3.533,,,
서호천,7.77,1.4,2.8,8.067,0.087,2016-06-01,4.967,,,
황구지천,7.17,4.3,30.7,7.767,0.215,2016-06-01,1.167,,,
수원천,7.83,1.3,5.7,2.633,0.057,2016-07-01,2.967,,,
원천리천,7.6,1.2,5.5,2.233,0.156,2016-07-01,2.4,,,
서호천,8.1,1.5,4.4,5.933,0.114,2016-07-01,3.567,,,
황구지천,7.5,3.0,24.1,4.367,0.169,2016-07-01,4.133,,,
수원천,7.7,1.9,2.3,3.633,0.057,2016-08-01,2.033,,,
원천리천,7.27,3.9,6.7,2.567,0.118,2016-08-01,3.433,,,
서호천,7.57,4.4,9.1,6.5,0.14,2016-08-01,3.967,,,
황구지천,7.3,5.4,19.3,2.467,0.193,2016-08-01,4.867,,,
수원천,7.3,1.7,4.1,3.567,0.048,2016-09-01,1.9,,,
원천리천,7.33,2.5,7.7,4.067,0.417,2016-09-01,3.667,,,
서호천,7.6,3.4,8.3,7.567,0.083,2016-09-01,3.767,,,
황구지천,7.4,3.9,14.4,3.133,0.142,2016-09-01,3.4,,,
수원천,7.23,1.5,3.3,3.533,0.041,2016-10-01,3.1,,,
원천리천,7.3,1.9,4.8,4.2,0.35,2016-10-01,5.0,,,
서호천,7.5,2.4,5.7,8.667,0.156,2016-10-01,4.933,,,
황구지천,7.43,2.5,10.9,6.933,0.161,2016-10-01,4.267,,,
수원천,7.73,0.5,0.4,4.3,0.021,2016-11-01,1.133,,,
원천리천,7.3,2.8,4.7,7.533,0.249,2016-11-01,5.6,,,
서호천,7.63,0.9,3.2,8.5,0.054,2016-11-01,3.767,,,
황구지천,7.87,2.8,12.3,2.867,0.138,2016-11-01,4.233,,,
수원천,7.57,0.6,1.0,3.533,0.032,2016-12-01,2.067,,,
원천리천,7.37,1.9,5.8,5.233,0.241,2016-12-01,4.7,,,
서호천,7.57,1.0,2.4,7.8,0.069,2016-12-01,3.367,,,
황구지천,7.73,2.1,8.0,2.9,0.148,2016-12-01,3.067,,,
수원천_중류(매세교),7.8,2.7300000000000004,0.9999999999999432,7.8544726301735635,0.0160521042084167,2017-01-01,1.8,,,
수원천_중류(매세교),7.3,4.5,1.0,7.635668789808916,0.0925607863424728,2017-02-01,1.822,,,
수원천_중류(매세교),7.5,5.1,6.400000000000035,5.53953488372093,0.1369215491559087,2017-03-01,2.226,,,
수원천_중류(매세교),7.6,1.7400000000000002,4.8000000000000105,4.017,0.02,2017-04-01,2.301,,,
